finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/b825b8f570a881919546b22faf5da6cf,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Auto-capture Discord opt-out bypass leaks captures,"The new autoCaptureDiscordUploadEnabled helper returns true when either autoCapture.discord.enabled or the global output.uploadDiscord flag is set. finalizeAutoCaptureImage then uploads every auto-capture result and first prefers autoCapture.discord.webhookUrl before falling back to the primary Discord webhook. This means an existing or imported configuration with autoCapture.schedule.enabled=true, output.uploadDiscord=true, and autoCapture.discord.enabled=false will start posting scheduled/test auto-capture images after this update. If a stale or attacker-supplied autoCapture.discord.webhookUrl is present, it is used even though the auto-capture Discord feature is disabled. This can disclose VRChat capture images and configured Discord presence metadata to an unintended Discord webhook. Webhook URL validation still restricts the destination to Discord, so this is an information disclosure/consent bypass rather than arbitrary SSRF or code execution.",medium,new,2026-07-07T16:49:08.438436Z,2026-07-08 00:02:18 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,823aeee36395e42e3514eb1f230b3265288cdab2,src/internal/appcore/autocapture.go | src/frontend/src/main.js,
https://chatgpt.com/codex/cloud/security/findings/c3dd493130a48191ae0cf186f1b1ea4f,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unbounded CLI encryption can exhaust memory,"This commit routes every startup argument that is not classified as an image extension into the new encryption flow before the UI starts. encryptPathWithPublicKey then handles any non-directory with os.ReadFile and handles directories by recursively walking them, deflating all files into an in-memory bytes.Buffer, returning the whole zip as []byte, and then encrypting that data into another in-memory bytes.Buffer. There is no maximum input size, total directory size, file count, recursion/depth bound, special-file rejection, or streaming to the output file. A malicious or simply very large non-image file/folder dragged onto ClipForVRChat.exe can therefore consume excessive RAM/CPU and crash or stall the application. The previous .zip encryption path already used memory buffering for zip files, but this commit substantially expands that behavior to arbitrary non-image files, folders, and multiple startup paths.",medium,new,2026-07-07T16:52:39.170251Z,2026-07-07 20:25:57 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,c26a344a629e91909ce1e264af04e87804fcc521,src/main.go | src/diagnostic_package.go,
https://chatgpt.com/codex/cloud/security/findings/69b57f2de0b081919021d7b078b7778c,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Raw issue quoting can leak user secrets,"AGENTS.md now instructs contributors/agents to write the user's original statement exactly as-is into issue files. In this project, user reports may naturally include sensitive values such as Discord webhook URLs, webhook tokens, local paths, QR-code URLs, logs, config snippets, or diagnostic excerpts. Because issue files are committed into the repository and moved under issues/closed, this creates a durable disclosure path for bearer secrets and private data. The rule should require preserving user intent while redacting or replacing secrets and privacy-sensitive values before committing.",medium,new,2026-07-07T17:05:38.063029Z,2026-07-07 08:17:15 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,46386b682cb4611679ad8bc72cb822105caa9cc6,AGENTS.md | issues/closed/unreleased/236-sort-closed-issue-index-and-preserve-user-instructions.md,
https://chatgpt.com/codex/cloud/security/findings/e1eed76c63f88191bf752e97efe07aea,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unsaved draft can activate auto-post watchers,"The commit adds automatic persistence and restoration of unsaved settings drafts. On startup, if a draft exists, main.go replaces state.Config with the draft and marks the UI as settings mode. However, when the app is launched with image arguments, it processes those images with the saved cfg variable, then overwrites state.Mode with results/error state without restoring state.Config back to the saved config or clearing the draft metadata. App.startup starts auto-photo/screenshot/auto-capture watchers whenever the final mode is ModeResults, using a.state.Config. Therefore a stale or malicious settings draft containing enabled AutoPhoto/ScreenshotAutoPost/AutoCapture settings and an attacker-controlled Discord webhook can be used as the runtime watcher configuration during a later image-processing launch, despite the user-facing message saying the draft is not applied to the settings file until saved. This can lead to unintended posting/exfiltration of newly watched VRChat photos or screenshots to the draft webhook. A safer design would keep restored drafts confined to settings UI state, reset state.Config to the saved cfg before entering results mode, or refuse to start background watchers while UnsavedSettingsDraft is true.",medium,new,2026-07-07T17:23:47.063599Z,2026-07-07 07:14:07 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,2010d3e6f56d679cb49d3a17e6e3a14fd418a367,src/frontend/src/main.js | src/main.go | src/app.go,
https://chatgpt.com/codex/cloud/security/findings/394a0dc95c688191a1617b65fcb2befd,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Hidden camera auto-start settings remain active,"The frontend now hides the `openCameraBeforeBatch` and `closeCameraAfterBatch` controls from the auto-capture UI, but it only defaults them to false when they are undefined. If a user already had these fields set to true, or opens an attacker-supplied JSON config containing true values, the settings remain active with no normal UI control to review or disable them. The backend still uses these values to send OSC commands that open the VRChat camera, enable stream camera mode/streaming, and close the camera after capture. Combined with scheduled auto-capture and Discord auto-post settings, this can cause unexpected capture/posting behavior after a user saves an imported or stale config.",medium,new,2026-07-07T17:27:49.446009Z,2026-07-07 01:08:30 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,215f5dea51ebc416efb676f13f5820b2828d5a63,src/frontend/src/main.js | src/internal/appcore/autocapture.go,
https://chatgpt.com/codex/cloud/security/findings/597578864ce08191ab5a3d3c39ff7e69,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Diagnostic logs leak VRChat private instance IDs,"This commit adds polling of VRChat output logs during capture-on-start readiness and writes the raw parsed world_id and instance_id to the diagnostic log when a candidate is seen or considered stable. VRChat instance IDs can include private instance details such as owner user IDs and nonce-like tokens (for example, private/hidden instance metadata). Diagnostic logs are included in the app's diagnostic package, and the plaintext ZIP intentionally remains for user review/sharing. The existing diagnostic redaction only removes known local paths and Discord webhook/token fields, so these newly logged world/instance identifiers survive into diagnostics. A remote attacker or support impersonator who convinces a user to share the diagnostic ZIP could learn where the user was in VRChat and potentially sensitive private instance metadata.",medium,new,2026-07-07T17:32:00.846451Z,2026-07-04 20:29:18 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,f5635ac756216120f5e5688d1e9372ebde8e7e3b,src/app.go | src/internal/appcore/autocapture.go | src/internal/appcore/diagnostic.go | src/diagnostic_package.go,
https://chatgpt.com/codex/cloud/security/findings/d2d5df5988508191bc4cb3a854709222,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,OSC forwarding can self-loop and cause UDP DoS,"The commit adds UDP forwarding for received OSC packets and attempts to prevent forwarding to the receiver's own endpoint. However, sameOSCForwardEndpoint only treats an unspecified receive address as equivalent to nil, loopback, or another unspecified target. If the app is configured to listen on 0.0.0.0:<port> or [::]:<port>, a target such as the host's LAN IP on the same port is not considered self-forwarding. Because a UDP socket bound to 0.0.0.0:<port> receives packets sent to any local interface address on that port, the forwarder can send each received packet back to the same listener. The listener then reads the forwarded packet and forwards it again indefinitely. This can be triggered by any packet received on the exposed OSC port once such a configuration is active, causing CPU/network churn and log growth. The self-forward check should reject same-port targets for unspecified binds unless it can prove the target is not local, or it should enumerate local interface addresses and reject all local targets resolving to the receiver port.",medium,new,2026-07-07T17:38:07.223283Z,2026-07-04 10:23:09 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,da42af372fd664fb8cdcba2cfaae23f7f65fb221,src/app.go,
https://chatgpt.com/codex/cloud/security/findings/bc11be799c30819196358524d889fcc2,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unbounded OSC packet logging enables log DoS,"The OSC receiver is started during app startup and now writes a diagnostic log entry for every valid or invalid received UDP packet. The receiver accepts unauthenticated UDP datagrams, formats attacker-controlled address/type/value/payload data, and calls AppendDiagnosticLog for each packet. AppendDiagnosticLog appends to a dated log file with no rotation, quota, throttling, or maximum file size. Because the frontend exposes configurable OSC host/port and the backend uses that host for ListenUDP, exposure is loopback by default but can become network-adjacent if the user binds to a non-loopback or wildcard address. Even on default loopback, another local process can flood 127.0.0.1:9001. This can cause application slowdown from synchronous open/write/close per packet and unbounded disk consumption. Additionally, those logs are collected into diagnostic packages, so all captured OSC parameter names, values, payload hex previews, and remote addresses may be shared during support.",medium,new,2026-07-07T17:50:56.427057Z,2026-07-04 04:48:36 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,3a593468ddac0a7709f236eedc98ceca2a069eeb,src/app.go | src/internal/appcore/diagnostic.go | src/diagnostic_package.go,
https://chatgpt.com/codex/cloud/security/findings/dc509a8e42b08191b3cf2de939f33b37,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Auto-post warning suppressed when webhook is configured,"Before this change, enabled VRChat photo and screenshot automatic processing were always included in the save confirmation, and the dialog told the user that matching images would be automatically processed and to verify the Discord destination. The new logic only adds confirmation items when Discord posting is enabled and the effective webhook is missing. Because the backend immediately restarts watchers after saving and auto-photo/screenshot/autocapture code falls back to the primary webhook, a configuration with auto processing enabled and a valid webhook no longer triggers this safety confirmation. This is security-relevant for untrusted or socially engineered configuration files: saving such a config can start background processing and upload future local images or autocapture output to the configured Discord webhook with less meaningful user visibility.",medium,new,2026-07-07T17:57:44.424326Z,2026-07-02 23:50:18 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,6f250c5054cdfb7b40d94a619876d63decd0d481,src/frontend/src/main.js | src/app.go | src/internal/appcore/autophoto.go | src/internal/appcore/autocapture.go,
https://chatgpt.com/codex/cloud/security/findings/48e99d7c21648191b403f30cc3bd82ec,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unbounded OSC avatar parameter cache enables DoS,"The commit adds avatar_osc basis handling to the OSC UDP receiver. Any OSC packet whose address starts with /avatar/parameters/ and has a supported scalar type is canonicalized and inserted into avatarOSCBasisSamples. There is no allow-list limiting storage to the configured basis parameter names, no cap on the number or length of cached addresses, no expiry/pruning, and rebuildAvatarOSCBasisLocked writes a diagnostic log entry for every accepted packet. A malicious local process, another local user, or an adjacent-network attacker if the OSC receiver is bound beyond loopback can send many unique avatar parameter addresses to grow the map indefinitely and/or send high-rate packets to grow diagnostic logs until memory or disk is exhausted. Because latestAvatarOSCSampleTime also scans all cached addresses by prefix, injected stale/junk prefixed parameters can keep avatar_osc basis stale and increase CPU work as the map grows.",medium,new,2026-07-07T18:05:34.702028Z,2026-07-02 02:59:55 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,6b711fd33e450ff4746e3dc373fb024f17f956b4,src/app.go,
