finding_url,repository,repository_url,title,description,severity,status,detected_at,committed_at,author_email,assignee_name,assignee_email,has_patch,configured_scan_id,commit_hash,relevant_paths,resolution_reason
https://chatgpt.com/codex/cloud/security/findings/9e3148269a108191b97b6f5a6386bc88,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Remote-player mask opt-out is silently reset,"The new mask UI lets users uncheck the `remotePlayer` option for each auto-capture composition. However, `AutoCaptureConfig.Normalize` now treats `RemotePlayer == false` on default, uncalibrated views as if it needs migration to the new default and replaces it with `defaultView.RemotePlayer`, which is now true. Since `SaveConfig` always calls `Normalize`, a user can uncheck the other-users mask for the default front/back/diagonal views, save settings, and have that privacy setting silently reverted. The auto-capture runner then sends `/usercamera/RemotePlayer` with the normalized true value, so captures can include other users despite the UI opt-out. If Discord upload is enabled for auto-capture, those unintended images may be posted to the configured webhook.",low,new,2026-07-07T16:45:29.431601Z,2026-07-08 01:04:57 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,057843a2e7e8cc17bcfe768a418626ac4947a619,src/internal/appcore/config.go | src/frontend/src/main.js | src/internal/appcore/autocapture.go,
https://chatgpt.com/codex/cloud/security/findings/b825b8f570a881919546b22faf5da6cf,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Auto-capture Discord opt-out bypass leaks captures,"The new autoCaptureDiscordUploadEnabled helper returns true when either autoCapture.discord.enabled or the global output.uploadDiscord flag is set. finalizeAutoCaptureImage then uploads every auto-capture result and first prefers autoCapture.discord.webhookUrl before falling back to the primary Discord webhook. This means an existing or imported configuration with autoCapture.schedule.enabled=true, output.uploadDiscord=true, and autoCapture.discord.enabled=false will start posting scheduled/test auto-capture images after this update. If a stale or attacker-supplied autoCapture.discord.webhookUrl is present, it is used even though the auto-capture Discord feature is disabled. This can disclose VRChat capture images and configured Discord presence metadata to an unintended Discord webhook. Webhook URL validation still restricts the destination to Discord, so this is an information disclosure/consent bypass rather than arbitrary SSRF or code execution.",medium,new,2026-07-07T16:49:08.438436Z,2026-07-08 00:02:18 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,823aeee36395e42e3514eb1f230b3265288cdab2,src/internal/appcore/autocapture.go | src/frontend/src/main.js,
https://chatgpt.com/codex/cloud/security/findings/bd076c30a8d88191af827159a1618baa,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Auto-photo skip path bypasses per-tick processing cap,"The commit adds AutoPhotoWatcher.ShouldSkip and calls it while photo-mode auto-capture suppression is active. However, skipped files are not counted against MaxAutoPhotoProcessPerTick. Since fileLooksStable sleeps for 700ms before ShouldSkip is evaluated, a local attacker or malicious local process able to create many supported image files in the configured AutoPhoto.PhotoDirectory during an auto-capture photo batch can force the watcher to spend about 700ms per new file in a single tick, up to the 5000-file scan cap. This can block the watcher for a long time and mark all those files as seen/skipped, suppressing normal auto-photo posting. The issue is limited by needing local write access to the watched folder and timing/configuration where auto-photo and photo-mode auto-capture are enabled.",low,new,2026-07-07T17:00:41.129664Z,2026-07-07 20:29:43 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,d94f511fbdea38ff232596eb9492ed0f06308867,src/internal/appcore/autophoto.go | src/app.go,
https://chatgpt.com/codex/cloud/security/findings/c3dd493130a48191ae0cf186f1b1ea4f,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unbounded CLI encryption can exhaust memory,"This commit routes every startup argument that is not classified as an image extension into the new encryption flow before the UI starts. encryptPathWithPublicKey then handles any non-directory with os.ReadFile and handles directories by recursively walking them, deflating all files into an in-memory bytes.Buffer, returning the whole zip as []byte, and then encrypting that data into another in-memory bytes.Buffer. There is no maximum input size, total directory size, file count, recursion/depth bound, special-file rejection, or streaming to the output file. A malicious or simply very large non-image file/folder dragged onto ClipForVRChat.exe can therefore consume excessive RAM/CPU and crash or stall the application. The previous .zip encryption path already used memory buffering for zip files, but this commit substantially expands that behavior to arbitrary non-image files, folders, and multiple startup paths.",medium,new,2026-07-07T16:52:39.170251Z,2026-07-07 20:25:57 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,c26a344a629e91909ce1e264af04e87804fcc521,src/main.go | src/diagnostic_package.go,
https://chatgpt.com/codex/cloud/security/findings/e9333711518881918aca4b091f8c2741,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,New diagnostic links are blocked by URL allow-list,"The new diagnostic report guidance adds two inline buttons that call openURL with hard-coded URLs on www.google.com and keys.openpgp.org. The Wails bridge routes this through App.OpenURL, which validates the target using trustedExternalURL. That function only allows github.com, hatolife.booth.pm, support.discord.com, and x.com. As a result, clicking the newly added gpg-file search link or public-key link returns an error and does not open the browser. This is a UI/functionality regression, not a security vulnerability, because the allow-list remains restrictive and does not expose arbitrary URL opening.",informational,new,2026-07-07T17:00:45.461673Z,2026-07-07 12:21:10 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,84591e3fe3e934cca1b01952c1425c090dc73cc8,src/frontend/src/main.js | src/app.go,
https://chatgpt.com/codex/cloud/security/findings/f296073eacfc8191a3254dbbcd6af9f2,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unrelated OSC parameters can suppress fallback,"The OSC receiver stores every float/bool /avatar/parameters packet in avatarOSCBasisSamples, regardless of whether the address is part of the configured AvatarBeacon basis. latestAvatarOSCBasisSnapshotLocked then treats the presence of any lastReceivedAt in that map as evidence that AvatarBeacon has been received and sets AutoFallback to false whenever a complete basis cannot be built. As a result, a local process that can send a single OSC packet such as /avatar/parameters/SomeOtherParam to the app's OSC receive port can prevent auto-enable fallback from ever triggering until the session context is reset. This can make capture-on-start wait and fail or make scheduled player-local auto-capture fail instead of falling back to the preplaced local anchor.",low,new,2026-07-07T17:08:00.792571Z,2026-07-07 11:12:15 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,004bf2362a0e9e8b30182e2ef10fea3ee401b547,src/app.go,
https://chatgpt.com/codex/cloud/security/findings/69b57f2de0b081919021d7b078b7778c,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Raw issue quoting can leak user secrets,"AGENTS.md now instructs contributors/agents to write the user's original statement exactly as-is into issue files. In this project, user reports may naturally include sensitive values such as Discord webhook URLs, webhook tokens, local paths, QR-code URLs, logs, config snippets, or diagnostic excerpts. Because issue files are committed into the repository and moved under issues/closed, this creates a durable disclosure path for bearer secrets and private data. The rule should require preserving user intent while redacting or replacing secrets and privacy-sensitive values before committing.",medium,new,2026-07-07T17:05:38.063029Z,2026-07-07 08:17:15 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,46386b682cb4611679ad8bc72cb822105caa9cc6,AGENTS.md | issues/closed/unreleased/236-sort-closed-issue-index-and-preserve-user-instructions.md,
https://chatgpt.com/codex/cloud/security/findings/e1eed76c63f88191bf752e97efe07aea,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Unsaved draft can activate auto-post watchers,"The commit adds automatic persistence and restoration of unsaved settings drafts. On startup, if a draft exists, main.go replaces state.Config with the draft and marks the UI as settings mode. However, when the app is launched with image arguments, it processes those images with the saved cfg variable, then overwrites state.Mode with results/error state without restoring state.Config back to the saved config or clearing the draft metadata. App.startup starts auto-photo/screenshot/auto-capture watchers whenever the final mode is ModeResults, using a.state.Config. Therefore a stale or malicious settings draft containing enabled AutoPhoto/ScreenshotAutoPost/AutoCapture settings and an attacker-controlled Discord webhook can be used as the runtime watcher configuration during a later image-processing launch, despite the user-facing message saying the draft is not applied to the settings file until saved. This can lead to unintended posting/exfiltration of newly watched VRChat photos or screenshots to the draft webhook. A safer design would keep restored drafts confined to settings UI state, reset state.Config to the saved cfg before entering results mode, or refuse to start background watchers while UnsavedSettingsDraft is true.",medium,new,2026-07-07T17:23:47.063599Z,2026-07-07 07:14:07 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,2010d3e6f56d679cb49d3a17e6e3a14fd418a367,src/frontend/src/main.js | src/main.go | src/app.go,
https://chatgpt.com/codex/cloud/security/findings/1bfd61c17ad8819194f57acaf065b4d2,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Debug OSC input is written verbatim to diagnostics,"The commit adds SendDebugOSC, which accepts arbitrary OSC text from the frontend. Before parsing or reducing it to metadata, it calls logUserActionLocked with strings.TrimSpace(line). logUserActionLocked writes that detail to the diagnostic log. Diagnostic packaging includes all *.log files after only generic redaction of known user paths, Discord webhook URLs, and selected JSON secret fields. As a result, any sensitive values a user sends as OSC arguments, such as tokens, private identifiers, or other secret string payloads, can be persisted into logs and disclosed if the user shares the plaintext diagnostic zip or encrypted diagnostic package workflow artifacts. The later debug OSC success/failure log entries correctly record only target, address, and type tags; the raw UI action detail should similarly omit argument values or be truncated/redacted.",low,new,2026-07-07T17:14:31.860196Z,2026-07-07 07:03:59 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,05c675b8b89acc6f7b8629c752bfbd800301e66c,src/app.go | src/internal/appcore/diagnostic.go | src/diagnostic_package.go | src/frontend/src/main.js,
https://chatgpt.com/codex/cloud/security/findings/8e6da4234de88191801527b54b27cddb,hatolife/ClipForVRChat,https://github.com/hatolife/ClipForVRChat,Spout diagnose trusts unbounded sender dimensions,"The commit adds a diagnostic mode that repeatedly calls GetSenderInfo(), then allocates width * height * 4 bytes and passes the resulting buffer to ReceiveImage(). Spout sender metadata is supplied by another local process. A malicious or malformed sender can advertise extremely large dimensions, causing std::vector::assign to throw and terminate the helper, or potentially causing integer-size overflow on very large values before ReceiveImage writes into an undersized buffer. This primarily affects availability of the helper/app workflow, but the unchecked buffer sizing pattern is unsafe. The existing capture path already had a similar issue, but this commit newly duplicates it in the added --diagnose path.",low,new,2026-07-07T17:22:46.664942Z,2026-07-07 02:37:06 +0900,poppo@hato.life,,,false,user-gdJP2yJAXwwLnz2cLJ6VlelW:github-1275663556,5d8bef2f993e844d3765fd4426034298a9477b36,tools/spout-capture/main.cpp,
